file_name,character,order,top_left,bottom_right
CMC_CCM_2018_01_30_23_30_37_55860730113.png,7,6,"(832.0, 618.0)","(892.0, 658.0)"
CMC_CCM_2018_01_30_23_30_37_55860730113.png,3,7,"(835.0, 559.0)","(891.0, 596.0)"
CMC_CCM_2018_01_30_23_30_37_55860730113.png,0,8,"(838.0, 522.0)","(896.0, 558.0)"
CMC_CCM_2018_01_30_23_30_37_55860730113.png,1,9,"(840.0, 494.0)","(897.0, 522.0)"
CMC_CCM_2018_01_30_23_30_37_55860730113.png,1,10,"(836.0, 456.0)","(898.0, 484.0)"
CMC_CCM_2018_01_30_23_30_37_55860730113.png,3,11,"(837.0, 415.0)","(895.0, 452.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,5,1,"(863.0, 772.0)","(915.0, 806.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,5,2,"(859.0, 738.0)","(916.0, 769.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,8,3,"(859.0, 705.0)","(911.0, 735.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,6,4,"(855.0, 674.0)","(915.0, 707.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,0,5,"(859.0, 646.0)","(913.0, 676.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,7,6,"(856.0, 602.0)","(911.0, 642.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,6,7,"(858.0, 542.0)","(913.0, 574.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,0,8,"(856.0, 513.0)","(909.0, 547.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,2,9,"(854.0, 477.0)","(913.0, 514.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,X,10,"(852.0, 449.0)","(907.0, 479.0)"
CMC_CCM_2018_01_30_23_31_02_558607602X7.png,7,11,"(849.0, 409.0)","(904.0, 447.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,5,1,"(827.0, 782.0)","(883.0, 812.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,5,2,"(827.0, 752.0)","(882.0, 780.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,8,3,"(826.0, 711.0)","(887.0, 747.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,6,4,"(827.0, 682.0)","(884.0, 715.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,0,5,"(825.0, 653.0)","(882.0, 681.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,7,6,"(821.0, 608.0)","(881.0, 649.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,5,7,"(824.0, 554.0)","(880.0, 591.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,0,8,"(826.0, 525.0)","(883.0, 554.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,2,9,"(825.0, 479.0)","(880.0, 511.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,2,10,"(821.0, 446.0)","(883.0, 478.0)"
CMC_CCM_2018_01_30_23_31_28_55860750224.png,4,11,"(825.0, 407.0)","(879.0, 439.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,5,1,"(844.0, 783.0)","(899.0, 818.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,5,2,"(843.0, 750.0)","(898.0, 782.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,8,3,"(843.0, 714.0)","(899.0, 744.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,6,4,"(842.0, 684.0)","(899.0, 713.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,0,5,"(837.0, 656.0)","(899.0, 687.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,7,6,"(833.0, 608.0)","(899.0, 650.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,2,7,"(832.0, 552.0)","(892.0, 594.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,0,8,"(830.0, 516.0)","(891.0, 551.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,2,9,"(828.0, 484.0)","(891.0, 514.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,E,10,"(829.0, 454.0)","(891.0, 488.0)"
CMC_CCM_2018_01_30_23_31_53_558607202E8.png,8,11,"(823.0, 421.0)","(888.0, 450.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,5,1,"(823.0, 775.0)","(881.0, 810.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,5,2,"(824.0, 738.0)","(882.0, 773.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,8,3,"(822.0, 706.0)","(887.0, 740.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,6,4,"(821.0, 674.0)","(881.0, 710.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,0,5,"(817.0, 649.0)","(880.0, 678.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,7,6,"(809.0, 599.0)","(879.0, 644.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,1,7,"(820.0, 549.0)","(876.0, 575.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,0,8,"(817.0, 507.0)","(875.0, 537.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,2,9,"(817.0, 467.0)","(870.0, 504.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,1,10,"(816.0, 446.0)","(876.0, 471.0)"
CMC_CCM_2018_01_30_23_32_21_55860710215.png,5,11,"(812.0, 401.0)","(872.0, 443.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,5,1,"(838.0, 785.0)","(896.0, 820.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,5,2,"(840.0, 751.0)","(897.0, 782.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,8,3,"(840.0, 717.0)","(898.0, 749.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,6,4,"(841.0, 686.0)","(896.0, 720.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,0,5,"(838.0, 654.0)","(897.0, 688.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,7,6,"(834.0, 609.0)","(897.0, 651.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,3,7,"(844.0, 553.0)","(895.0, 588.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,0,8,"(847.0, 521.0)","(899.0, 553.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,2,9,"(843.0, 481.0)","(893.0, 510.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,8,10,"(845.0, 452.0)","(897.0, 477.0)"
CMC_CCM_2018_01_30_23_33_08_5586073028E.png,E,11,"(837.0, 414.0)","(898.0, 450.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,5,1,"(854.0, 794.0)","(907.0, 826.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,5,2,"(854.0, 762.0)","(910.0, 794.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,8,3,"(855.0, 721.0)","(911.0, 760.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,6,4,"(857.0, 693.0)","(908.0, 724.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,0,5,"(852.0, 665.0)","(913.0, 699.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,7,6,"(850.0, 622.0)","(914.0, 662.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,4,7,"(855.0, 562.0)","(913.0, 597.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,0,8,"(856.0, 531.0)","(910.0, 561.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,2,9,"(851.0, 491.0)","(913.0, 523.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,5,10,"(850.0, 459.0)","(909.0, 492.0)"
CMC_CCM_2018_01_30_23_34_47_55860740251.png,1,11,"(853.0, 431.0)","(911.0, 463.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,5,1,"(856.0, 779.0)","(912.0, 817.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,5,2,"(855.0, 745.0)","(910.0, 781.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,8,3,"(857.0, 711.0)","(912.0, 741.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,6,4,"(852.0, 678.0)","(914.0, 710.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,0,5,"(855.0, 653.0)","(911.0, 684.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,7,6,"(850.0, 607.0)","(910.0, 649.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,6,7,"(854.0, 551.0)","(910.0, 587.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,0,8,"(849.0, 522.0)","(906.0, 554.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,3,9,"(844.0, 478.0)","(909.0, 518.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,6,10,"(843.0, 448.0)","(905.0, 478.0)"
CMC_CCM_2018_01_30_23_35_13_55860760362.png,2,11,"(840.0, 419.0)","(903.0, 450.0)"
